title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,currency,seat_pricing,scrape_datetime
Estonian Museum of Architecture,https://www.bilietai.lt/eng/tickets/kita/estonian-museum-of-architecture-315800/,Exhibitions,Eesti Arhitektuurimuuseum,Ahtri 2,Tallinn,Estonia,2021-12-31,2026-12-31,2020-06-18 10:00,2026-12-31,"[{'date': '2021-12-31', 'time': '23:59'}]",EUR,"{'2021-12-31': [{'seat': 'General', 'ticket_price': '6.20 - 13.20'}]}",2026-03-02 17:24:27
Apsilankyk edukaciniame zoologijos sode ZOOPARK.LT | KAUNE,https://www.bilietai.lt/eng/tickets/seimai/apsilankyk-edukaciniame-zoologijos-sode-zooparklt--kaune-383371/,Exhibitions,"ZOOPARK.LT, PLC MEGA",Islandijos pl.32,Kaunas,Lithuania,2023-01-01,2026-12-31,2023-02-02 08:00,2026-12-31,"[{'date': '2023-01-01', 'time': '10:00'}]",EUR,"{'2023-01-01': [{'seat': 'General', 'ticket_price': '8.00 - 101.00'}]}",2026-03-02 17:24:31
Apsilankyk pirmajame Vilniuje zoologijos sode ZOOPARK.LT | VILNIUS,https://www.bilietai.lt/eng/tickets/seimai/apsilankyk-pirmajame-vilniuje-zoologijos-sode-zooparklt--vilnius-359079/,Exhibitions,"ZOOPARK.LT, OGMIOS MIESTAS",Verkių g. 29,Vilnius,Lithuania,2023-01-01,2027-01-01,2022-05-25 08:00,2027-01-01,"[{'date': '2023-01-01', 'time': '12:00'}]",EUR,"{'2023-01-01': [{'seat': 'General', 'ticket_price': '12.00 - 71.00'}]}",2026-03-02 17:24:36
ŽIRGŲ GRAND ŠOU IR PARODA,https://www.bilietai.lt/eng/tickets/parodos/zirgu-grand-sou-ir-paroda-487862/,Exhibitions,Lietuvos parodų ir kongresų centras LITEXPO,Laisvės pr. 5,Vilnius,Lithuania,2026-03-14,2026-03-15,2025-11-24 10:00,2026-03-15,"[{'date': '2026-03-14', 'time': '10:00'}]",EUR,"{'2026-03-14': [{'seat': 'General', 'ticket_price': '16.95 - 23.70'}]}",2026-03-02 17:24:40
Galinė sėdynė | Kino filmas | Visaginas,https://www.bilietai.lt/eng/tickets/kinas/galine-sedyne--kino-filmas--visaginas-494643/,Cinema,"Visagino kultūros centras, ''Draugystė''",Parko g. 7,Visaginas,Lithuania,2026-03-05,2026-03-05,2026-02-18 10:00,2026-03-05,"[{'date': '2026-03-05', 'time': '18:00'}]",EUR,"{'2026-03-05': [{'seat': 'General', 'ticket_price': '4.70 - 6.50'}]}",2026-03-02 17:24:55
Nuodas | Kino filmas | Visaginas,https://www.bilietai.lt/eng/tickets/kinas/nuodas--kino-filmas--visaginas-103026/,Cinema,"Visagino kultūros centras, ''Draugystė''",Parko g. 7,Visaginas,Lithuania,2026-03-06,2026-03-28,2026-02-26 10:00,2026-03-28,"[{'date': '2026-03-06', 'time': '18:00'}]",EUR,"{'2026-03-06': [{'seat': 'General', 'ticket_price': '4.70 - 6.50'}]}",2026-03-02 17:25:01
Zitai | Kino FIlmas | Visaginas,https://www.bilietai.lt/eng/tickets/kinas/zitai--kino-filmas--visaginas-103027/,Cinema,"Visagino kultūros centras, ''Draugystė''",Parko g. 7,Visaginas,Lithuania,2026-03-12,2026-03-14,2026-02-26 10:00,2026-03-14,"[{'date': '2026-03-12', 'time': '18:00'}]",EUR,"{'2026-03-12': [{'seat': 'General', 'ticket_price': '4.00 - 5.50'}]}",2026-03-02 17:25:05
Siratas | Visaginas | Kino filmas,https://www.bilietai.lt/eng/tickets/kinas/siratas--visaginas--kino-filmas-102925/,Cinema,"Visagino kultūros centras, ''Draugystė''",Parko g. 7,Visaginas,Lithuania,2026-03-03,2026-04-01,2026-02-20 10:00,2026-04-01,"[{'date': '2026-03-03', 'time': '18:00'}]",EUR,"{'2026-03-03': [{'seat': 'General', 'ticket_price': '4.70 - 6.50'}]}",2026-03-02 17:25:10
Siratas | Visaginas | Kino filmas,https://www.bilietai.lt/eng/tickets/kinas/siratas--visaginas--kino-filmas-494874/,Cinema,"Visagino kultūros centras, ''Draugystė''",Parko g. 7,Visaginas,Lithuania,2026-03-03,2026-03-03,2026-02-20 10:00,2026-03-03,"[{'date': '2026-03-03', 'time': '18:00'}]",EUR,"{'2026-03-03': [{'seat': 'General', 'ticket_price': '4.70 - 6.50'}]}",2026-03-02 17:25:15
DOVANŲ kuponas. Ekskursija PAŽAISLYJE. Galioja iki 2026.06.30,https://www.bilietai.lt/eng/tickets/kita/dovanu-kuponas-ekskursija-pazaislyje-galioja-iki-20260630-453054/,Other,Pažaislio vienuolynas,T. Masiulio g. 31,Kaunas,Lithuania,2025-12-22,2026-06-30,2025-04-10 12:00,2026-06-30,"[{'date': '2025-12-22', 'time': '12:00'}]",EUR,"{'2025-12-22': [{'seat': 'General', 'ticket_price': '25.00 - 250.00'}]}",2026-03-02 17:25:32
Albumas: Daddy Was A Milkman ''Kai ruduo mokė mane'',https://www.bilietai.lt/eng/tickets/kita/albumas-daddy-was-a-milkman-kai-ruduo-moke-mane-345507/,Other,CD,CD,,Lithuania,2025-12-31,2026-12-31,2021-11-29 10:00,2026-12-31,"[{'date': '2025-12-31', 'time': '19:00'}]",EUR,"{'2025-12-31': [{'seat': 'General', 'ticket_price': '16.50'}]}",2026-03-02 17:25:36
Sidabrinis Maironio šaukštas,https://www.bilietai.lt/eng/tickets/kita/sidabrinis-maironio-saukstas-362065/,Other,Maironio lietuvių literatūros muziejus,Rotušės a. 13,Kaunas,Lithuania,2025-12-31,2026-12-31,2022-06-28 10:00,2026-12-31,"[{'date': '2025-12-31', 'time': '00:00'}]",EUR,"{'2025-12-31': [{'seat': 'General', 'ticket_price': '20.00'}]}",2026-03-02 17:25:41
Poezijos ir kvapų burtai,https://www.bilietai.lt/eng/tickets/kita/poezijos-ir-kvapu-burtai-362066/,Other,Maironio lietuvių literatūros muziejus,Rotušės a. 13,Kaunas,Lithuania,2025-12-31,2026-12-31,2022-06-28 10:00,2026-12-31,"[{'date': '2025-12-31', 'time': '00:00'}]",EUR,"{'2025-12-31': [{'seat': 'General', 'ticket_price': '35.00 - 100.00'}]}",2026-03-02 17:25:46
Apsilankymas Pavilnių ir Verkių regioninių parkų lankytojų centre,https://www.bilietai.lt/eng/tickets/kita/apsilankymas-pavilniu-ir-verkiu-regioniniu-parku-lankytoju-centre-417339/,Other,Pavilnių ir Verkių regioninių parkų lankytojų centas,Žaliųjų Ežerų g. 53,Vilnius,Lithuania,2025-12-31,2026-12-31,2023-12-29 10:00,2026-12-31,"[{'date': '2025-12-31', 'time': '00:00'}]",EUR,"{'2025-12-31': [{'seat': 'General', 'ticket_price': '1.29'}]}",2026-03-02 17:25:50
BILIETAI.LT Dovanų čekis,https://www.bilietai.lt/eng/tickets/dovanu-cekiai2/bilietai-lt-gift-certificate/bilietailt-dovanu-cekis-365158/,gift card,Dovanų čekis,,,Lithuania,,2026-12-31,2021-11-10 10:00,2026-12-31,"[{'date': '', 'time': None}]",EUR,"{'': [{'seat': 'General', 'ticket_price': '10.00 - 200.00'}]}",2026-03-02 17:26:05
LIETUVOS NACIONALINIO DRAMOS TEATRO DOVANŲ KUPONAS,https://www.bilietai.lt/eng/tickets/dovanu-cekiai2/bilietai-lt-gift-certificate/lietuvos-nacionalinio-dramos-teatro-dovanu-kuponas-432645/,gift card,Dovanų kuponas,Lietuva,,Lithuania,,2026-06-29,2024-05-28 09:00,2026-06-29,"[{'date': '', 'time': None}]",EUR,"{'': [{'seat': 'General', 'ticket_price': '11.00 - 51.00'}]}",2026-03-02 17:26:11
KEISTUOLIŲ TEATRAS. DOVANŲ KUPONAS,https://www.bilietai.lt/eng/tickets/dovanu-cekiai2/bilietai-lt-gift-certificate/keistuoliu-teatras-dovanu-kuponas-442140/,gift card,Dovanų kuponas,Lietuva,,Lithuania,,2026-12-31,2024-09-10 10:00,2026-12-31,"[{'date': '', 'time': None}]",EUR,"{'': [{'seat': 'General', 'ticket_price': '10.50 - 101.20'}]}",2026-03-02 17:26:16
Lukiškės 2.0 dovanų kuponas,https://www.bilietai.lt/eng/tickets/dovanu-cekiai2/bilietai-lt-gift-certificate/lukiskes-20-dovanu-kuponas-372247/,gift card,Dovanų kuponas,Lietuva,,Lithuania,,2026-12-31,2021-05-23 10:00,2026-12-31,"[{'date': '', 'time': None}]",EUR,"{'': [{'seat': 'General', 'ticket_price': '20.00 - 100.00'}]}",2026-03-02 17:26:20
DOVANŲ KUPONAS EKSKURSIJA KAUNE | 1 asmeniui,https://www.bilietai.lt/eng/tickets/kita/dovanu-kuponas-ekskursija-kaune--1-asmeniui-490168/,gift card,Dovanų kuponas,Kaunas,Kaunas,Lithuania,2026-12-31,2026-12-31,2025-12-17 10:00,2026-12-31,"[{'date': '2026-12-31', 'time': '14:00'}]",EUR,"{'2026-12-31': [{'seat': 'General', 'ticket_price': '30.20'}]}",2026-03-02 17:26:25
